MZ	  gB  xsec*acceptance	
500.0 0.2 0.765462574636
500.0 0.4 3.00590891391
500.0 0.6 6.58198907104
500.0 0.8 12.4753155757
500.0 1.0 18.8556633381
500.0 1.2 27.0477200379
500.0 1.4 37.6678783019
500.0 1.6 48.7367739628
600.0 0.2 0.347662249821
600.0 0.4 1.47937177958
600.0 0.6 3.17024764663
600.0 0.8 5.61067690831
600.0 1.0 9.26045854362
600.0 1.2 12.7938609929
600.0 1.4 17.7747475115
600.0 1.6 22.7968531568
700.0 0.2 0.184729680542
700.0 0.4 0.742737503019
700.0 0.6 1.66364195871
700.0 0.8 2.97862388713
700.0 1.0 4.69279427173
700.0 1.2 6.91725835351
700.0 1.4 9.15512731203
700.0 1.6 12.1261911555
800.0 0.2 0.104369642423
800.0 0.4 0.410319882324
800.0 0.6 0.958977583697
800.0 0.8 1.73255417783
800.0 1.0 2.62605238448
800.0 1.2 3.80273545232
800.0 1.4 5.13726098699
800.0 1.6 6.84963828221
900.0 0.2 0.0603530806846
900.0 0.4 0.238850848083
900.0 0.6 0.540012416851
900.0 0.8 0.969205584642
900.0 1.0 1.50923444251
900.0 1.2 2.16517340347
900.0 1.4 3.00440536193
900.0 1.6 4.03585062893
1000.0 0.2 0.03531974222
1000.0 0.4 0.146689895833
1000.0 0.6 0.341631197827
1000.0 0.8 0.60696284585
1000.0 1.0 0.903009297725
1000.0 1.2 1.3348503308
1000.0 1.4 1.81450174662
1000.0 1.6 2.39506651797
1100.0 0.2 0.02275849682
1100.0 0.4 0.0927445763547
1100.0 0.6 0.214279223301
1100.0 0.8 0.365203854167
1100.0 1.0 0.579252252475
1100.0 1.2 0.8541911
1100.0 1.4 1.16427890819
1100.0 1.6 1.50169475738
1200.0 0.2 0.0146355964303
1200.0 0.4 0.0594943361303
1200.0 0.6 0.133952488086
1200.0 0.8 0.235470557621
1200.0 1.0 0.353216533865
1200.0 1.2 0.539820686201
1200.0 1.4 0.736555187247
1200.0 1.6 0.974688663868
1300.0 0.2 0.00946221979658
1300.0 0.4 0.038196626847
1300.0 0.6 0.087732196632
1300.0 0.8 0.155984695349
1300.0 1.0 0.24030494
1300.0 1.2 0.346598165592
1300.0 1.4 0.472199900498
1300.0 1.6 0.614888734491
1400.0 0.2 0.00635918576084
1400.0 0.4 0.0248362641963
1400.0 0.6 0.0569872526636
1400.0 0.8 0.102433542601
1400.0 1.0 0.156570508688
1400.0 1.2 0.230032340426
1400.0 1.4 0.315105068527
1400.0 1.6 0.420670759208
1500.0 0.2 0.00418680553181
1500.0 0.4 0.0177197378468
1500.0 0.6 0.0383908581809
1500.0 0.8 0.0678432016008
1500.0 1.0 0.107365320755
1500.0 1.2 0.152876425662
1500.0 1.4 0.20980862636
1500.0 1.6 0.283596659027
1600.0 0.2 0.0029046112541
1600.0 0.4 0.0116415659617
1600.0 0.6 0.025940559739
1600.0 0.8 0.045714399696
1600.0 1.0 0.0702717717336
1600.0 1.2 0.106332765314
1600.0 1.4 0.147443595506
1600.0 1.6 0.194904653768
1700.0 0.2 0.00196909615385
1700.0 0.4 0.00810329238579
1700.0 0.6 0.0182157802086
1700.0 0.8 0.0313261825095
1700.0 1.0 0.0497449479034
1700.0 1.2 0.0710049460747
1700.0 1.4 0.101156122706
1700.0 1.6 0.138244458534
1800.0 0.2 0.00137170918316
1800.0 0.4 0.00545243221409
1800.0 0.6 0.0123606286653
1800.0 0.8 0.0218339513693
1800.0 1.0 0.0342840996486
1800.0 1.2 0.0497715607804
1800.0 1.4 0.0707705547074
1800.0 1.6 0.0934011105515
1900.0 0.2 0.00096583445674
1900.0 0.4 0.00387163465982
1900.0 0.6 0.00878577596326
1900.0 0.8 0.0152475451264
1900.0 1.0 0.0244065128983
1900.0 1.2 0.0347556885414
1900.0 1.4 0.0484548328267
1900.0 1.6 0.0655009021601
2000.0 0.2 0.000679551963284
2000.0 0.4 0.0026470313144
2000.0 0.6 0.00612409711684
2000.0 0.8 0.0103897553379
2000.0 1.0 0.0171418235745
2000.0 1.2 0.0257937631177
2000.0 1.4 0.033898519573
2000.0 1.6 0.0459937148687
2100.0 0.2 0.000472956311662
2100.0 0.4 0.00187738433342
2100.0 0.6 0.00436741172291
2100.0 0.8 0.00777683110883
2100.0 1.0 0.011772089029
2100.0 1.2 0.0176323828125
2100.0 1.4 0.0244775881753
2100.0 1.6 0.033437748227
2200.0 0.2 0.000337433637285
2200.0 0.4 0.00134187768219
2200.0 0.6 0.00308001345223
2200.0 0.8 0.00523543838384
2200.0 1.0 0.00836091040243
2200.0 1.2 0.0124357276402
2200.0 1.4 0.0170563066229
2200.0 1.6 0.0241235309212
2300.0 0.2 0.000239796172032
2300.0 0.4 0.000936874647887
2300.0 0.6 0.0022174487395
2300.0 0.8 0.00391022112821
2300.0 1.0 0.00614888437103
2300.0 1.2 0.00912022848439
2300.0 1.4 0.0120078743031
2300.0 1.6 0.016682048707
2400.0 0.2 0.000166414873161
2400.0 0.4 0.000705035097636
2400.0 0.6 0.00157480035714
2400.0 0.8 0.00279029539823
2400.0 1.0 0.004297648